Category,Variable,Description
Basics,Song,Song Name
,Artist,Artist Name
,Date,First Week to Hit Number One
,Weeks at Number One,Collective (Consecutive and Non-Consecutive) Weeks at Number One
,Non-Consecutive,Dummy for if it were number one in non-consecutive weeks
Rating,Rating 1,"Rating between 1 and 10, inclusive, provided by judge 1"
,Rating 2,"Rating between 1 and 10, inclusive, provided by judge 2"
,Rating 3,"Rating between 1 and 10, inclusive, provided by judge 3"
,Overall Rating,"Sample mean of Rating 1, Rating 2, and Rating 3"
,Divisiveness,"Average absolute pairwise distance between all ratings, ranging from 0.0 to 6.0, inclusive"
Label Info,Label,Record Label that released the song
,Parent Label,"The larger label or entity that owns the label that released the song, if any"
Genre,CDR Genre,Genre as assigned by Chris Dalla Riva and Vinnie Christopher.
,CDR Sub-Genre,Sub-genre as assigned by Chris Dalla Riva and Vinnie Christopher.
,Discogs Genre,Genre as assigned by Discogs.com. See https://blog.discogs.com/en/genres-and-styles/ for more information.
,Discogs Style,"Style as assigned by Discogs.com. Style is Discogs' equivalent of sub-genre. If there is no style listed, ""None"" is listed. See https://blog.discogs.com/en/genres-and-styles/ for more information."
Artist Info,Artist Structure,"0 means it is a group of three or more people. 1 means it is a solo act. 2 means it is a duo. If the number is followed by 0.5, then it means that there is at least one featured artist listed."
,Featured Artists,"List of notable featured artists, along with what they did on the track, whether they were credited or not."
,Multiple Lead Vocalists,Dummy for if the song contains multiple people singing/rapping the lead vocal
,Group Named After Non-Lead Singer,"Dummy for if the group is named after someone who isn't the lead singer (e.g., The J. Geils Band is named for the lead guitar player, not the singer)"
,Talent Show Contestant,"Notes if the artist became well known through a television talent competition. If so, the talent competition is listed (e.g., American Idol)"
,Posthumous,Dummy for if the artist were dead when the song got to number one
,Artist Place of Origin,The country that the artist was born in.
,Front Person Age,"Age of the frontperson or bandleader on the song. If there are multiple, the average is taken. This is not necessarily the lead singer. If blank, then the age(s) could not be accurately located or age did not make sense (i.e., the band was animated)."
,Artist Male,"Dummy for if the artist were a male or a group of males at the time of the release. If 0, the artist or group was all female. If 1, the artist or group was all male. If 2, the artist has a mix of males and females. If 3, the artist contains at least one non-binary person."
,Artist White,"Dummy for if the artist was white, meaning that their ancestry was of European origin. If 0, the artist was not white. If 1, the artist was white. If 2, the artist has members that are both white and not white."
,Artist Black,"Dummy for if the artist was black, meaning that their ancestry was of African origin. If 0, the artist was not black. If 1, the artist was black. If 2, the artist has members that are both black and not black."
Songwriter Info,Songwriters,"Songwriters from BMI/ASCAP Songview database. If they do not have the information, it comes from The Billboard Book of Number One Hits by Fred Bronson. If Bronson does not have the information, it comes from Spotify song credits."
,Songwriters w/o Interpolation & Sample Credits,"Songwriters from ""Songwriters"" field, excluding credits for writers who are being interpolated or sampled."
,Songwriter Male,"Dummy for if the songwriter were a male or a group of males at the time of the release. If 0, the songwriter or group of songwriters was all female. If 1, the songwriter or group of songwriters was all male. If 2, the songwriters were a mix of males and females. If 3, the songwriters were a mix of males, females, and non-binary persons."
,Songwriter White,"Dummy for if the songwriteres were white, meaning that their ancestry was of European origin. If 0, the songwriters were not white. If 1, the songwriters were white. If 2, the songwriters has members that are both white and not white."
,Artist is a Songwriter,Dummy for if the Artist is one of the songwriters
,Artist is Only Songwriter,Dummy for if the Artist is the only songwriter
Producer Info,Producers,"Producers from Tidal's production credits. If Tidal doesn't have the information, it comes from Fred Bronson's The Billboard Book of Number One Hits. If Bronson does not have the information, it comes from Spotify production credits."
,Producer Male,"Dummy for if the producer were a male or a group of males at the time of the release. If 0, the producer or producers were all female. If 1, the producer or producers were all female. If 2, the producers were a mix of males and females. If 3, the songwriters were a mix of males, females, and non-binary persons."
,Producer White,"Dummy for if the producers were white, meaning that their ancestry was of European origin. If 0, the producers were not white. If 1, the producers were not white. If 2, the producers were composed of both white and not white persons."
,Artist is a Producer,Dummy for if the Artist is one of the producers
,Artist is Only Producer,Dummy for if the artist is the only producer
,Songwriter is a Producer,Dummy for if one of the songwriters is one of the producers
Musical Info,Time Signature,Time Signature
,Keys,"Key that most captures a song. Key changes are seperated by a semi-colon. A percent sign (%) indicates that the song never returns to its original key. An ampersand (&) indicates an energy key change, or a key change that takes the song either up one or two half steps. "
,Simplified Key,"If the song has a single key, it is again listed here. If it has mutliple keys ""Multiple Keys"" is listed unless the only key change is an energy key change. In that case, the first key is listed."
,BPM,Beats per minute as provided by Spotify
,Energy,Energy measure from 0 to 100 as provided by Spotify
,Danceability,Danceability measure from 0 to 100 as provided by Spotify
,Happiness,Happiness measure from 0 to 100 as provided by Spotify
,Loudness (dB),Loudness measured in decibels as provided by Spotify
,Acousticness,Probability between 0 and 100 that a song is acoustic from Spotify
